2020-08-09 16:33:28,965 | root | INFO | 
-------------------------------------------------------------------------------------------------

2020-08-09 16:33:28,966 | root | INFO | CRAWLER STARTS
2020-08-09 16:33:28,967 | root | INFO | Created vendor folder for : teknosa as C:\Users\Berkay\Desktop\CodeLibrary\gitRepositories\e-commerce-crawler\src\assets\teknosa
2020-08-09 16:33:28,967 | root | WARNING | Sitemap Category url: https://www.teknosa.com/medias/sys_master/sitemaps/sitemaps/1752952165/Category-tr-TRY.xml
2020-08-09 16:33:29,556 | root | INFO | Task Created For Vendor : teknosa with regular sitemap
2020-08-09 16:33:29,556 | root | INFO |  **** Vendor Tasks are started **** 
2020-08-09 16:33:29,557 | root | INFO | Task Created For Product : süpürge
2020-08-09 16:33:29,670 | root | INFO | Searching süpürge in sitemap XML 
2020-08-09 16:33:29,687 | root | WARNING |  <<< Reconstructed the product string as = supurge >>>
2020-08-09 16:33:29,806 | root | INFO | Searching supurge in sitemap XML 
2020-08-09 16:33:29,820 | root | INFO | Product :süpürge pageList : ['https://www.teknosa.com/filtreli-supurgeler-c-3392', 'https://www.teknosa.com/toz-torbali-supurgeler-c-104001002', 'https://www.teknosa.com/supurgeler-c-104001', 'https://www.teknosa.com/supurge-aparatlari-c-104001007001', 'https://www.teknosa.com/robot-supurgeler-c-104001009', 'https://www.teknosa.com/dikey-supurgeler-c-104001003', 'https://www.teknosa.com/toz-torbasiz-supurgeler-c-104001001', 'https://www.teknosa.com/sarjli-supurgeler-c-104001004']
2020-08-09 16:33:29,820 | root | INFO |  Product Tasks are started for : teknosa  
2020-08-09 16:33:29,820 | root | INFO | teknosaPage queue, product : süpürge
2020-08-09 16:33:29,820 | root | INFO | Created product folder for : süpürge as C:\Users\Berkay\Desktop\CodeLibrary\gitRepositories\e-commerce-crawler\src\assets\teknosa\süpürge
2020-08-09 16:33:29,821 | root | INFO | PAGE : https://www.teknosa.com/filtreli-supurgeler-c-3392
2020-08-09 16:33:30,951 | root | INFO | PAGE : https://www.teknosa.com/toz-torbali-supurgeler-c-104001002
2020-08-09 16:33:30,952 | root | INFO | SUB-PAGE Task for product : süpürge - sub page queue, page : https://www.teknosa.com/filtreli-supurgeler-c-3392
2020-08-09 16:33:32,393 | root | INFO | PAGE : https://www.teknosa.com/supurgeler-c-104001
2020-08-09 16:33:32,395 | root | INFO | SUB-PAGE Task for product : süpürge - sub page queue, page : https://www.teknosa.com/toz-torbali-supurgeler-c-104001002
2020-08-09 16:33:33,888 | root | INFO | PAGE : https://www.teknosa.com/supurge-aparatlari-c-104001007001
2020-08-09 16:33:33,889 | root | INFO | SUB-PAGE Task for product : süpürge - sub page queue, page : https://www.teknosa.com/supurgeler-c-104001
2020-08-09 16:33:35,103 | root | INFO | PAGE : https://www.teknosa.com/robot-supurgeler-c-104001009
2020-08-09 16:33:35,105 | root | INFO | SUB-PAGE Task for product : süpürge - sub page queue, page : https://www.teknosa.com/supurge-aparatlari-c-104001007001
2020-08-09 16:33:36,111 | root | INFO | PAGE : https://www.teknosa.com/dikey-supurgeler-c-104001003
